date,rf_returns
07/10/2003,2.3883614211239745e-05
08/10/2003,2.3580603292217006e-05
09/10/2003,2.4731245265030566e-05
10/10/2003,2.4437963425105735e-05
13/10/2003,2.4164214028177255e-05
14/10/2003,2.417338533300395e-05
15/10/2003,2.4163046030478696e-05
16/10/2003,2.417221692008198e-05
17/10/2003,2.4717884223424136e-05
20/10/2003,2.472702751599165e-05
21/10/2003,2.5272640681972547e-05
22/10/2003,2.472579121937102e-05
23/10/2003,2.5583489861036313e-05
24/10/2003,2.5855927009876822e-05
27/10/2003,2.613809610529927e-05
28/10/2003,2.6693320586135272e-05
29/10/2003,2.6419537912492075e-05
30/10/2003,2.669190288417944e-05
31/10/2003,2.6418134788652736e-05
04/11/2003,2.641743688913678e-05
05/11/2003,2.6143697796410237e-05
06/11/2003,2.5860229011742675e-05
07/11/2003,2.585956027756353e-05
10/11/2003,2.527384878203698e-05
11/11/2003,2.500019695950151e-05
12/11/2003,2.4999571965222955e-05
13/11/2003,2.472594758096136e-05
14/11/2003,2.5281071304394942e-05
17/11/2003,2.5582666433043855e-05
18/11/2003,2.5582011976998942e-05
19/11/2003,2.472344617321376e-05
20/11/2003,2.558072511082976e-05
21/11/2003,2.5580070754038786e-05
24/11/2003,2.586211577382258e-05
25/11/2003,2.58614469423879e-05
26/11/2003,2.5587841172569625e-05
27/11/2003,2.668865390642594e-05
28/11/2003,2.6415018936631895e-05
04/12/2003,2.5868490209912665e-05
05/12/2003,2.5858074318874102e-05
08/12/2003,2.5857405695939306e-05
09/12/2003,2.5866483333691903e-05
10/12/2003,2.5856068302188007e-05
11/12/2003,2.4724896061201207e-05
12/12/2003,2.416879235078717e-05
15/12/2003,2.3885596122097397e-05
16/12/2003,2.4167630976235088e-05
17/12/2003,2.389419316051189e-05
18/12/2003,2.3581796829041934e-05
19/12/2003,2.38833144858841e-05
22/12/2003,2.4165322454416938e-05
23/12/2003,2.4729881583640534e-05
24/12/2003,2.4164140929316957e-05
25/12/2003,2.4163557037715222e-05
26/12/2003,2.1054913318385715e-05
29/12/2003,2.133701496553897e-05
30/12/2003,2.2164691019677107e-05
31/12/2003,2.216419975709094e-05
